9203;# doc = hse_day.2.txt;;;;;;;;;;;;;;;;
9204;# speaker = Катя;;;;;;;;;;;;;;;;
9205;# sent = 760;;;;;;;;;;;;;;;;
9244;;всегда;ВСЕГДА;ADVPRO;;;мой Яндекс транспорт _всегда_ мне показывает время;а;д;г;е;с;в;ADV;ВСЕГДА;ADV -;А
9245;;мне;Я;SPRO sg 1p - dat;;;Яндекс транспорт всегда _мне_ показывает время прибытия;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
9246;;показывает;ПОКАЗЫВАТЬ;V ipf praes sg indic - 3p;;;транспорт всегда мне _показывает_ время прибытия ,;т;е;а;в;ы;з;V;ПОКАЗЫВАТЬ;V ipf praes sg indic - 3p;Ь
9247;;время;ВРЕМЯ;S n inan acc sg;;;всегда мне показывает _время_ прибытия , ну;я;м;е;р;в;;S;ВРЕМЯ;S n inan acc sg;Я
9248;;прибытия;ПРИБЫТИЕ;S n inan gen sg;;;мне показывает время _прибытия_ , ну ,;я;и;т;ы;б;и;S;ПРИБЫТИЕ;S n inan gen sg;Е
9249;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9250;;ну;НУ;PART;;;время прибытия , _ну_ , короче ,;у;н;;;;;PART;НУ;PART;У
9251;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9252;;короче;КОРОЧЕ;PARENTH;;;, ну , _короче_ , время в;е;ч;о;р;о;к;ADV;КОРОЧЕ;ADV comp;Е
9253;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9254;;время;ВРЕМЯ;S n inan acc sg;;;, короче , _время_ в пути неправильно;я;м;е;р;в;;S;ВРЕМЯ;S n inan acc sg;Я
9255;;в;В;PR;;;короче , время _в_ пути неправильно .;в;;;;;;PR;В;PR;В
9256;;пути;ПУТЬ;S m inan loc2 sg;;;, время в _пути_ неправильно . ;и;т;у;п;;;S;ПУТЬ;S m inan loc sg;Ь
9257;;неправильно;НЕПРАВИЛЬНО;ADV -;;;время в пути _неправильно_ .  ;о;н;ь;л;и;в;ADV;НЕПРАВИЛЬНО;ADV -;О
9258;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
9259;;;;;;;;;;;;;;;;;
9260;# sent = 762;;;;;;;;;;;;;;;;
9261;;Всегда;ВСЕГДА;ADVPRO;;;.   _Всегда_ увеличивает . ;а;д;г;е;с;в;ADV;ВСЕГДА;ADV -;А
9262;;увеличивает;УВЕЛИЧИВАТЬ;V ipf praes sg indic - 3p;;;  Всегда _увеличивает_ .  ;т;е;а;в;и;ч;V;УВЕЛИЧИВАТЬ;V ipf praes sg indic - 3p;Ь
9263;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
9264;;;;;;;;;;;;;;;;;
9265;# sent = 763;;;;;;;;;;;;;;;;
9266;;Аа;А;INTJ;;;.   _Аа_  начит ;а;а;;;;;INTJ;АА;NONLEX;А
9267;"<distinct form=""";;;;;;;;;;;;;;;;
9268;<dist>;начит;;;;;;;;;;;;;;;
9269;""">";;;;;;;;;;;;;;;;
9270;;значит;ЗНАЧИТ;PARENTH;;; начит  _значит_  , я;т;и;ч;а;н;з;ADV;ЗНАЧИТ;ADV -;Т
9271;</distinct>;;;;;;;;;;;;;;;;
9272;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9273;;я;Я;SPRO sg 1p - nom;;;значит  , _я_ приехала , потом;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
9274;;приехала;ПРИЕХАТЬ;V pf praet sg indic f -;;; , я _приехала_ , потом подождала;а;л;а;х;е;и;V;ПРИЕХАТЬ;V pf praet sg indic f -;Ь
9275;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9276;;потом;ПОТОМ;ADVPRO;;;я приехала , _потом_ подождала ребят ,;м;о;т;о;п;;ADV;ПОТОМ;ADV -;М
9277;;подождала;ПОДОЖДАТЬ;V pf praet sg indic f -;;;приехала , потом _подождала_ ребят , мы;а;л;а;д;ж;о;V;ПОДОЖДАТЬ;V pf praet sg indic f -;Ь
9278;;ребят;РЕБЯТА;S - anim gen pl;;;, потом подождала _ребят_ , мы встретились;т;я;б;е;р;;S;РЕБЯТА;S - anim gen pl;А
9279;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9280;;мы;МЫ;SPRO pl 1p - nom;;;подождала ребят , _мы_ встретились , пошли;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
9281;;встретились;ВСТРЕТИТЬСЯ;V pf praet pl indic - -;;;ребят , мы _встретились_ , пошли в;ь;с;и;л;и;т;V;ВСТРЕТИТЬСЯ;V pf praet pl indic - -;Я
9282;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9283;;пошли;ПОЙТИ;V pf praet pl indic - -;;;мы встретились , _пошли_ в Burger King;и;л;ш;о;п;;V;ПОЙТИ;V pf praet pl indic - -;И
9284;;в;В;PR;;;встретились , пошли _в_ Burger King ,;в;;;;;;PR;В;PR;В
9285;;Burger;BURGER;NONLEX;;;, пошли в _Burger_ King , в;r;e;g;r;u;b;NONLEX;BURGER;NONLEX;R
9286;;King;KING;NONLEX;;;пошли в Burger _King_ , в KFC;g;n;i;k;;;NONLEX;KING;NONLEX;G
9287;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9288;;в;В;PR;;;Burger King , _в_ KFC и нажрались;в;;;;;;PR;В;PR;В
9289;;KFC;KFC;NONLEX;;;King , в _KFC_ и нажрались там;c;f;k;;;;NONLEX;KFC;NONLEX;C
9290;;и;И;CONJ;;;, в KFC _и_ нажрались там до;и;;;;;;CONJ;И;CONJ;И
9291;;нажрались;НАЖРАТЬСЯ;V pf praet pl indic - -;;;в KFC и _нажрались_ там до отвала;ь;с;и;л;а;р;V;НАЖРАТЬСЯ;V pf praet pl indic - -;Я
9292;;там;ТАМ;ADVPRO;;;KFC и нажрались _там_ до отвала ,;м;а;т;;;;ADV;ТАМ;ADV -;М
9293;;до;ДО;PR;;;и нажрались там _до_ отвала , наелись;о;д;;;;;PR;ДО;PR;О
9294;;отвала;ОТВАЛ;S m inan gen sg;;;нажрались там до _отвала_ , наелись .;а;л;а;в;т;о;S;ОТВАЛ;S m inan gen sg;Л
9295;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9296;;наелись;НАЕСТЬСЯ;V pf praet pl indic - -;;;до отвала , _наелись_ .  ;ь;с;и;л;е;а;V;НАЕСТЬСЯ;V pf praet pl indic - -;Я
9297;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
9298;;;;;;;;;;;;;;;;;
9299;# sent = 764;;;;;;;;;;;;;;;;
9300;;Хорошо;ХОРОШО;PART;;;.   _Хорошо_ , буду говорить;о;ш;о;р;о;х;ADV;ХОРОШО;ADV -;О
9301;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9302;;буду;БЫТЬ;V ipf fut sg indic - 1p;;; Хорошо , _буду_ говорить прилично .;у;д;у;б;;;V;БЫТЬ;V ipf praes sg indic - 1p;Ь
9303;;говорить;ГОВОРИТЬ;V ipf - - inf - -;;;Хорошо , буду _говорить_ прилично . ;ь;т;и;р;о;в;V;ГОВОРИТЬ;V ipf - - inf - -;Ь
9304;;прилично;ПРИЛИЧНО;ADV -;;;, буду говорить _прилично_ .  ;о;н;ч;и;л;и;ADV;ПРИЛИЧНО;ADV -;О
9305;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
9306;;;;;;;;;;;;;;;;;
9307;# sent = 765;;;;;;;;;;;;;;;;
9308;;Аа;А;INTJ;;;.   _Аа_ Потом пошли в;а;а;;;;;INTJ;АА;NONLEX;А
9309;;Потом;ПОТОМ;ADVPRO;;;  Аа _Потом_ пошли в Парк;м;о;т;о;п;;ADV;ПОТОМ;ADV -;М
9310;;пошли;ПОЙТИ;V pf praet pl indic - -;;; Аа Потом _пошли_ в Парк Горького;и;л;ш;о;п;;V;ПОЙТИ;V pf praet pl indic - -;И
9311;;в;В;PR;;;Аа Потом пошли _в_ Парк Горького ...;в;;;;;;PR;В;PR;В
9312;;Парк;ПАРК;S m inan acc sg;;;Потом пошли в _Парк_ Горького ... ;к;р;а;п;;;S;ПАРК;S m inan nom sg;К
9313;;Горького;ГОРЬКИЙ;S famn m anim gen sg;;;пошли в Парк _Горького_ ...  ;о;г;о;к;ь;р;S;ГОРЬКИЙ;S m anim gen sg;Й
9314;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
9315;;;;;;;;;;;;;;;;;
9316;# sent = 766;;;;;;;;;;;;;;;;
9317;;Аа;А;INTJ;;;...   _Аа_ погу ... ;а;а;;;;;INTJ;АА;NONLEX;А
9318;;погу;ПОГА;S f inan acc sg;distort;;  Аа _погу_ ...  ;у;г;о;п;;;S;ПОГА;S f inan acc sg;А
9319;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
9320;;;;;;;;;;;;;;;;;
9321;# sent = 767;;;;;;;;;;;;;;;;
9322;;Прогулялись;ПРОГУЛЯТЬСЯ;V pf praet pl indic - -;;;...   _Прогулялись_ по этой аллее;ь;с;и;л;я;л;V;ПРОГУЛЯТЬСЯ;V pf praet pl indic - -;Я
9323;;по;ПО;PR;;;  Прогулялись _по_ этой аллее студорганизаций;о;п;;;;;PR;ПО;PR;О
9324;;этой;ЭТОТ;APRO - dat sg plen f -;;; Прогулялись по _этой_ аллее студорганизаций .;й;о;т;э;;;APRO;ЭТОТ;A - loc sg plen f -;Т
9325;;аллее;АЛЛЕЯ;S f inan dat sg;;;Прогулялись по этой _аллее_ студорганизаций . ;е;е;л;л;а;;S;АЛЛЕЯ;S f inan loc sg;Я
9326;;студорганизаций;СТУДОРГАНИЗАЦИЯ;S f inan gen pl;;;по этой аллее _студорганизаций_ .  ;й;и;ц;а;з;и;S;СТУДОРГАНИЗАЦИЯ;S f inan gen pl;Я
9327;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
9328;;;;;;;;;;;;;;;;;
9329;# sent = 768;;;;;;;;;;;;;;;;
9330;;Там;ТАМ;ADVPRO;;;.   _Там_ было не очень;м;а;т;;;;ADV;ТАМ;ADV -;М
9331;;было;БЫТЬ;V ipf praet sg indic n -;;;  Там _было_ не очень интересно;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
9332;;не;НЕ;PART;;; Там было _не_ очень интересно ,;е;н;;;;;PART;НЕ;PART;Е
9333;;очень;ОЧЕНЬ;ADV -;;;Там было не _очень_ интересно , потому что;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
9334;;интересно;ИНТЕРЕСНЫЙ;PRAEDIC - ;;;было не очень _интересно_ , потому что мы;о;н;с;е;р;е;A;ИНТЕРЕСНЫЙ;A - - sg brev n -;Й
9335;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9336;;потому что;потому что;CONJ;;;очень интересно , _потому что_ мы думали ,;о;т;ч; ;у;м;CONJ;потому что;CONJ;о
9337;;мы;МЫ;SPRO pl 1p - nom;;;интересно , потому что _мы_ думали , что;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
9338;;думали;ДУМАТЬ;V ipf praet pl indic - -;;;, потому что мы _думали_ , что там;и;л;а;м;у;д;V;ДУМАТЬ;V ipf praet pl indic - -;Ь
9339;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9340;;что;ЧТО;CONJ;;;мы думали , _что_ там будут большие;о;т;ч;;;;CONJ;ЧТО;CONJ;О
9341;;там;ТАМ;ADVPRO;;;думали , что _там_ будут большие вывески;м;а;т;;;;ADV;ТАМ;ADV -;М
9342;;будут;БЫТЬ;V ipf fut pl indic - 3p;;;, что там _будут_ большие вывески и;т;у;д;у;б;;V;БЫТЬ;V ipf praes pl indic - 3p;Ь
9343;;большие;БОЛЬШОЙ;A - nom pl plen - -;;;что там будут _большие_ вывески и можно;е;и;ш;ь;л;о;A;БОЛЬШОЙ;A - nom pl plen - -;Й
9344;;вывески;ВЫВЕСКА;S f inan nom pl;;;там будут большие _вывески_ и можно будет;и;к;с;е;в;ы;S;ВЫВЕСКА;S f inan nom pl;А
9345;;и;И;CONJ;;;будут большие вывески _и_ можно будет понять;и;;;;;;CONJ;И;CONJ;И
9346;;можно;МОЖНО;PRAEDIC;;;большие вывески и _можно_ будет понять ,;о;н;ж;о;м;;PRAEDIC;МОЖНО;PRAEDIC;О
9347;;будет;БЫТЬ;V ipf fut sg indic - 3p;;;вывески и можно _будет_ понять , аа;т;е;д;у;б;;V;БЫТЬ;V ipf praes sg indic - 3p;Ь
9348;;понять;ПОНЯТЬ;V pf - - inf - -;;;и можно будет _понять_ , аа как бы;ь;т;я;н;о;п;V;ПОНЯТЬ;V pf - - inf - -;Ь
9349;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9350;;аа;А;INTJ;;;будет понять , _аа_ как бы , что;а;а;;;;;INTJ;АА;NONLEX;А
9351;;как бы;как бы;PART;;;понять , аа _как бы_ , что это;ы;б; ;к;а;к;PART;как бы;ADV -;ы
9352;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9353;;что;ЧТО;CONJ;;;аа как бы , _что_ это за организация;о;т;ч;;;;CONJ;ЧТО;CONJ;О
9354;;это;ЭТО;SPRO n - nom sg;;;как бы , что _это_ за организация ,;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
9355;;за;ЗА;PR;;;, что это _за_ организация , но;а;з;;;;;PR;ЗА;PR;А
9356;;организация;ОРГАНИЗАЦИЯ;S f inan nom sg;;;что это за _организация_ , но просто;я;и;ц;а;з;и;S;ОРГАНИЗАЦИЯ;S f inan nom sg;Я
9357;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9358;;но;НО;CONJ;;;за организация , _но_ просто нужно было;о;н;;;;;CONJ;НО;CONJ;О
9359;;просто;ПРОСТО;PART;;;организация , но _просто_ нужно было подходить;о;т;с;о;р;п;PART;ПРОСТО;PART;О
9360;;нужно;НУЖНО;PRAEDIC;;;, но просто _нужно_ было подходить куда-то;о;н;ж;у;н;;PRAEDIC;НУЖНО;ADV -;О
9361;;было;БЫТЬ;V ipf praet sg indic n -;;;но просто нужно _было_ подходить куда-то к;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
9362;;подходить;ПОДХОДИТЬ;V ipf - - inf - -;;;просто нужно было _подходить_ куда-то к большой;ь;т;и;д;о;х;V;ПОДХОДИТЬ;V ipf - - inf - -;Ь
9363;;куда-то;КУДА-ТО;ADVPRO;;;нужно было подходить _куда-то_ к большой толпе;о;т;-;а;д;у;ADV;КУДА-ТО;ADV -;О
9364;;к;К;PR;;;было подходить куда-то _к_ большой толпе людей;к;;;;;;PR;К;PR;К
9365;;большой;БОЛЬШОЙ;A - dat sg plen f -;;;подходить куда-то к _большой_ толпе людей и;й;о;ш;ь;л;о;A;БОЛЬШОЙ;A - loc sg plen f -;Й
9366;;толпе;ТОЛПА;S f inan dat sg;;;куда-то к большой _толпе_ людей и спрашивать;е;п;л;о;т;;S;ТОЛПА;S f inan loc sg;А
9367;;людей;ЧЕЛОВЕК;S m anim gen pl;;;к большой толпе _людей_ и спрашивать :;й;е;д;ю;л;;S;ЧЕЛОВЕК;S m anim gen pl;К
9368;;и;И;CONJ;;;большой толпе людей _и_ спрашивать : «;и;;;;;;CONJ;И;CONJ;И
9369;;спрашивать;СПРАШИВАТЬ;V ipf - - inf - -;;;толпе людей и _спрашивать_ : « А;ь;т;а;в;и;ш;V;СПРАШИВАТЬ;V ipf - - inf - -;Ь
9370;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
9371;;«;«;PUNCT;;;;;;;;;;PUNCT;;;
9372;;А;А;CONJ;;;спрашивать : « _А_ что здесь такое;а;;;;;;CONJ;А;CONJ;А
9373;;что;ЧТО;CONJ;;;: « А _что_ здесь такое ?;о;т;ч;;;;CONJ;ЧТО;CONJ;О
9374;;здесь;ЗДЕСЬ;ADVPRO;;;« А что _здесь_ такое ? »;ь;с;е;д;з;;ADV;ЗДЕСЬ;ADV -;Ь
9375;;такое;ТАКОЙ;APRO - nom sg plen n -;;;А что здесь _такое_ ? » .;е;о;к;а;т;;APRO;ТАКОЙ;A - nom sg plen n -;Й
9376;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
9377;;»;»;PUNCT;;;;;;;;;;PUNCT;;;
9378;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
9379;;;;;;;;;;;;;;;;;
9380;# sent = 769;;;;;;;;;;;;;;;;
9381;;В;В;PR;;;.   _В_ общем , потом;в;;;;;;PR;В;PR;В
9382;;общем;ОБЩИЙ;A - loc sg plen m -;;;  В _общем_ , потом мы;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
9383;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9384;;потом;ПОТОМ;ADVPRO;;;В общем , _потом_ мы пошли на;м;о;т;о;п;;ADV;ПОТОМ;ADV -;М
9385;;мы;МЫ;SPRO pl 1p - nom;;;общем , потом _мы_ пошли на научные;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
9386;;пошли;ПОЙТИ;V pf praet pl indic - -;;;, потом мы _пошли_ на научные бои;и;л;ш;о;п;;V;ПОЙТИ;V pf praet pl indic - -;И
9387;;на;НА;PR;;;потом мы пошли _на_ научные бои ради;а;н;;;;;PR;НА;PR;А
9388;;научные;НАУЧНЫЙ;A - acc pl plen - inan;;;мы пошли на _научные_ бои ради ;е;ы;н;ч;у;а;A;НАУЧНЫЙ;A - acc pl plen - inan;Й
9389;;бои;БОЙ;S m inan acc pl;;;пошли на научные _бои_ ради  бэжедэ;и;о;б;;;;S;БОЙ;S m inan acc pl;Й
9390;;ради;РАДИ;PR;;;на научные бои _ради_  бэжедэ ;и;д;а;р;;;PR;РАДИ;PR;И
9391;"<distinct form=""";;;;;;;;;;;;;;;;
9392;<dist>;бэжедэ;;;;;;;;;;;;;;;
9393;""">";;;;;;;;;;;;;;;;
9394;;БЖД;БЖД;NONLEX;;; бэжедэ  _БЖД_  , ;д;ж;б;;;;NONLEX;БЖД;NONLEX;Д
9395;</distinct>;;;;;;;;;;;;;;;;
9396;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9397;"<span class=""note"">";;;;;;;;;;;;;;;;
9398;<note>;смеется;;;;;;;;;;;;;;;
9399;</span>;;;;;;;;;;;;;;;;
9400;;но;НО;CONJ;;; смеется  _но_ не смогли ничего;о;н;;;;;CONJ;НО;CONJ;О
9401;;не;НЕ;PART;;;смеется  но _не_ смогли ничего там;е;н;;;;;PART;НЕ;PART;Е
9402;;смогли;СМОЧЬ;V pf praet pl indic - -;;; но не _смогли_ ничего там сфотографировать;и;л;г;о;м;с;V;СМОЧЬ;V pf praet pl indic - -;Ь
9403;;ничего;НИЧТО;SPRO n inan gen sg;;;но не смогли _ничего_ там сфотографировать ,;о;г;е;ч;и;н;SPRO;НИЧТО;S n - gen sg;О
9404;;там;ТАМ;ADVPRO;;;не смогли ничего _там_ сфотографировать , потому что;м;а;т;;;;ADV;ТАМ;ADV -;М
9405;;сфотографировать;СФОТОГРАФИРОВАТЬ;V pf - - inf - -;;;смогли ничего там _сфотографировать_ , потому что там;ь;т;а;в;о;р;V;СФОТОГРАФИРОВАТЬ;V pf - - inf - -;Ь
9406;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9407;;потому что;потому что;CONJ;;;там сфотографировать , _потому что_ там все было;о;т;ч; ;у;м;CONJ;потому что;CONJ;о
9408;;там;ТАМ;ADVPRO;;;сфотографировать , потому что _там_ все было забито;м;а;т;;;;ADV;ТАМ;ADV -;М
9409;;все;ВСЕ;SPRO n inan nom sg;;;, потому что там _все_ было забито людьми;е;с;в;;;;S;ВСЕ;S - - acc pl;Е
9410;;было;БЫТЬ;V ipf praet sg indic n -;;;потому что там все _было_ забито людьми .;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
9411;;забито;ЗАБИТЫЙ;V brev pass partcp;;;там все было _забито_ людьми . ;о;т;и;б;а;з;A;ЗАБИТЫЙ;A - - sg brev n -;Й
9412;;людьми;ЧЕЛОВЕК;S m anim ins pl;;;все было забито _людьми_ .  ;и;м;ь;д;ю;л;S;ЧЕЛОВЕК;S m anim ins pl;К
9413;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
9414;;;;;;;;;;;;;;;;;
9415;# sent = 770;;;;;;;;;;;;;;;;
9416;# speaker = Катя;;;;;;;;;;;;;;;;
9417;# sent = 771;;;;;;;;;;;;;;;;
9418;;Аа;А;INTJ;;;   _Аа_ потом началось интересное;а;а;;;;;INTJ;АА;NONLEX;А
9419;;потом;ПОТОМ;ADVPRO;;;  Аа _потом_ началось интересное .;м;о;т;о;п;;ADV;ПОТОМ;ADV -;М
9420;;началось;НАЧАТЬСЯ;V pf praet sg indic n -;;; Аа потом _началось_ интересное . ;ь;с;о;л;а;ч;V;НАЧАТЬСЯ;V pf praet sg indic n -;Я
9421;;интересное;ИНТЕРЕСНОЕ;S n inan nom sg;;;Аа потом началось _интересное_ .  ;е;о;н;с;е;р;A;ИНТЕРЕСНЫЙ;A - nom sg plen n -;Е
9422;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
9423;;;;;;;;;;;;;;;;;
9424;# sent = 772;;;;;;;;;;;;;;;;
9425;;Мы;МЫ;SPRO pl 1p - nom;;;.   _Мы_ пошли на набережную;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
9426;;пошли;ПОЙТИ;V pf praet pl indic - -;;;  Мы _пошли_ на набережную …;и;л;ш;о;п;;V;ПОЙТИ;V pf praet pl indic - -;И
9427;;на;НА;PR;;; Мы пошли _на_ набережную … ;а;н;;;;;PR;НА;PR;А
9428;;набережную;НАБЕРЕЖНАЯ;S f inan acc sg;;;Мы пошли на _набережную_ …  ;ю;у;н;ж;е;р;S;НАБЕРЕЖНАЯ;S f inan acc sg;Я
9429;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
9430;;;;;;;;;;;;;;;;;
9431;# sent = 773;;;;;;;;;;;;;;;;
9432;;Аа;А;INTJ;;;…   _Аа_ поучаствовали в какой-то;а;а;;;;;INTJ;АА;NONLEX;А
9433;;поучаствовали;ПОУЧАСТВОВАТЬ;V pf praet pl indic - -;;;  Аа _поучаствовали_ в какой-то викторине;и;л;а;в;о;в;V;ПОУЧАСТВОВАТЬ;V pf praet pl indic - -;Ь
9434;;в;В;PR;;; Аа поучаствовали _в_ какой-то викторине и;в;;;;;;PR;В;PR;В
9435;;какой-то;КАКОЙ-ТО;APRO - loc sg plen m inan;;;Аа поучаствовали в _какой-то_ викторине и выиграли;о;т;-;й;о;к;APRO;КАКОЙ-ТО;A - acc sg plen m inan;О
